name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,,,PREDICTED AVERAGE TAKEDOWNS LANDED PER 15 MINUTES,UNIQUE HEIGHTS,UNIQUE WEIGHTS
Maiquel Falcao,Big Rig,37,10,0,180.34,83.91,,Orthodox,3/8/1981,1.67,55,0.53,86,1,100,71,3,,,,1.108056574,,
Samandar Murodov,,8,0,0,185.42,77.11,190.5,Orthodox,8/28/1999,3.41,80,0.8,0,3.01,100,0,3,,,,1.315569529,,
Katsuaki Furuki,,1,1,0,182.88,76.2,,,,0.27,10,2.67,39,0,0,0,3,,,,0.940943535,,
Matt Secor,,8,4,0,182.88,77.11,,,,0.51,20,0.81,50,3.03,100,0,3,,,,0.970030327,,
Danny Mitchell,The Cheesecake Assassin,19,9,1,187.96,77.11,,Orthodox,8/8/1986,2.53,49,2.53,52,0,0,100,3,,,,1.2099255,,
Adam Piccolotti,,9,0,0,180.34,70.31,,,,4.61,50,2.83,71,2.96,60,100,3,,,,1.458313216,,
Scott Shaffer,,0,1,0,170.18,65.77,,Orthodox,,2.4,67,0.53,50,0,0,72,3,,,,1.194359324,,
Raymond Daniels,,0,1,0,187.96,83.91,,Southpaw,,0,0,2.61,38,0,0,33,3,,,,0.908917174,,
Fabiano Iha,,9,5,0,172.72,70.31,,Orthodox,7/28/1970,1.73,47,2.49,42,2.88,40,50,2.9,,,,1.115226026,,
Jan Nortje,The Giant,2,6,0,185.42,140.61,,Southpaw,4/11/1975,3.32,51,4.5,32,0,0,66,2.9,,,,1.303929366,,
Will Ribeiro,,10,2,0,172.72,61.23,,Orthodox,2/17/1983,1.83,28,1.64,74,1.15,100,50,2.9,,,,1.126904493,,
Anthony Hernandez,Fluffy,11,2,0,182.88,83.91,190.5,Orthodox,10/18/1993,4.33,62,3.36,46,6.79,57,63,2.9,,,,1.424579013,,
Marcus Jones,The Darkness,4,2,0,198.12,120.2,,Orthodox,8/15/1973,1.94,52,2.71,58,8.71,75,0,2.9,,,,1.13896625,,
Tatsuro Taira,,14,0,0,170.18,56.7,177.8,Orthodox,1/27/2000,3.23,69,1.26,47,2.41,41,60,2.8,,,,1.290020115,,
Jason High,The Kansas City Bandit,21,6,0,172.72,70.31,185.42,Southpaw,10/12/1981,1.28,42,1.56,48,2.36,63,37,2.8,,,,1.058360788,,
Mike Nickels,,9,5,0,193.04,92.99,,Orthodox,12/13/1971,4.44,52,1.11,64,11.11,80,0,2.8,,,,1.433101458,,
Shaheen Santana,Shazam,6,1,0,185.42,70.31,190.5,Orthodox,6/4/1991,0.82,42,1.65,40,0,0,0,2.8,,,,1.002835714,,
